Site Set,Field,Bytesize(Approximately. After Serialize),Count,Top1%
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.product_id,8081288,19855,705
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.quality_product_id_exp,9448846,19855,824
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.real_product_id,29263631,19855,5125
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.tencent_first_category_v2,4,1,4
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.tencent_second_category_v2,4,1,4
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.tencent_third_category_v2,4,1,4
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.view_details,80103518,19847,7414
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.view_details.export_id_hash_value,14260261,19566,1384
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.view_details.fraud_type,4520914,19737,405
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.view_details.placement_id,15069730,19737,1350
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.view_details.session_id,20737370,19682,2237
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.view_details.site_id,12055928,19737,1080
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.view_details.video_duration,15881,2734,9
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.view_details.video_play_duration,17403,3794,8
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.view_details.view_time,9041971,19737,810
0,recommend_context.flow_context.flow_adstat_data,59721,19907,3
0,recommend_context.flow_context.hawkeye_label,3096,1032,3
0,recommend_context.flow_context.member_id,179163,19907,9
0,recommend_context.flow_context.member_id.value,119442,19907,6
0,recommend_context.flow_context.mini_program,39814,19907,2
0,recommend_context.flow_context.news_click_active_degree_crowd_type,5571,1857,3
0,recommend_context.flow_context.page_id,159256,19907,8
0,recommend_context.flow_context.privacy_info,69493,19907,7
0,recommend_context.flow_context.privacy_info.skip_privacy_types,4798,2399,2
0,recommend_context.flow_context.privacy_info.skip_privacy_types_org,4974,2487,2
0,recommend_context.flow_context.query_context_new,30111,10037,3
0,recommend_context.flow_context.support_mixed_feature,46104,15368,3
0,recommend_context.flow_context.trace_feature_entity,88111986,10843,21466
0,recommend_context.flow_context.trace_feature_entity.bytes_array,24436901,10843,8857
0,recommend_context.flow_context.trace_feature_entity.feature_id,42132423,10843,8231
0,recommend_context.flow_context.trace_feature_entity.float_array,9508620,10843,2987
0,recommend_context.flow_context.trace_feature_entity.float_value,263258,3366,146
0,recommend_context.flow_context.trace_feature_entity.int_array,2694230,7365,1139
0,recommend_context.flow_context.trace_feature_entity.int_feature_id,3926937,10843,772
0,recommend_context.flow_context.trace_feature_entity.int_value,315935,3366,175
0,recommend_context.flow_context.trace_feature_entity.value_type,1881057,10843,369
0,recommend_context.flow_context.trace_feature_entity.weight_array,210501,3366,108
0,recommend_context.flow_context.wechat_info,258791,19907,13
0,recommend_context.flow_context.wechat_info.pass_through,159256,19907,8
0,recommend_context.flow_context.wechat_info.pass_through.exp,39814,19907,2
0,recommend_context.flow_context.wechat_info.pass_through.query_context,39814,19907,2
0,recommend_context.flow_context.wechat_info.pass_through.user_packages,39814,19907,2
0,recommend_context.flow_context.wechat_info.request_index_for_user,39814,19907,2
0,recommend_context.pos_contexts,1594329267,19907,143576
0,recommend_context.pos_contexts.pos_flow_industry_strategy,4726587,19907,2174
0,recommend_context.pos_contexts.pos_flow_industry_strategy.novelty_class_ids,31727,910,34
0,recommend_context.pos_contexts.pos_flow_industry_strategy.novelty_fingerprint_product_ids,1248200,14159,690
0,recommend_context.pos_contexts.pos_flow_industry_strategy.novelty_fingerprint_tid_ids,3366454,13813,1477
0,recommend_context.pos_contexts.pos_info,7035309,19907,2452
0,recommend_context.pos_contexts.pos_info.black_list,5040065,14463,2354
0,recommend_context.pos_contexts.pos_info.black_list.filter_dimension,4996676,14463,2351
0,recommend_context.pos_contexts.pos_info.black_list.filter_dimension.creative_fingerprint,3363107,13813,1476
0,recommend_context.pos_contexts.pos_info.black_list.filter_dimension.demand_cognitive_unit_id,36287,927,39
0,recommend_context.pos_contexts.pos_info.black_list.filter_dimension.inner_spu_id,44616,807,55
0,recommend_context.pos_contexts.pos_info.black_list.filter_dimension.product_finger_print_list,1235945,14159,689
0,recommend_context.pos_contexts.pos_info.black_list.filter_dimension.product_hash_id,179406,3241,103
0,recommend_context.pos_contexts.pos_info.black_list.filter_dimension.second_category_id_v2,85344,910,93
0,recommend_context.pos_contexts.pos_info.crt_size_ids,532010,19907,37
0,recommend_context.pos_contexts.pos_info.dsp_stats_info_map,109197,384,284
0,recommend_context.pos_contexts.pos_info.dsp_stats_info_map.bid_result,5105,384,13
0,recommend_context.pos_contexts.pos_info.dsp_stats_info_map.dsp_id,47943,384,124
0,recommend_context.pos_contexts.pos_info.dsp_stats_info_map.filter_reason,18604,384,48
0,recommend_context.pos_contexts.pos_info.dsp_stats_info_map.request_id,7905,384,20
0,recommend_context.pos_contexts.pos_info.feeds_screen_no,60076,19907,3
0,recommend_context.pos_contexts.pos_info.gpr_context,257079,19873,15
0,recommend_context.pos_contexts.pos_info.gpr_context.gpr_elapsed_time_ms,42890,19873,3
0,recommend_context.pos_contexts.pos_info.gpr_context.gpr_server_hub_ip,99975,19873,6
0,recommend_context.pos_contexts.pos_info.gpr_context.gpr_server_hub_port,55038,19873,3
0,recommend_context.pos_contexts.pos_info.hit_recall_cache_count,40165,19907,2
0,recommend_context.pos_contexts.pos_info.page_id,159763,19907,8
0,recommend_context.pos_contexts.pos_info.placement_group_ids,103937,19907,6
0,recommend_context.pos_contexts.pos_info.placement_scene,60076,19907,3
0,recommend_context.pos_contexts.pos_info.placement_type,79997,19907,4
0,recommend_context.pos_contexts.pos_info.pos_id,219641,19907,11
0,recommend_context.pos_contexts.pos_info.render_type,60076,19907,3
0,recommend_context.pos_contexts.pos_info.reuse_info,40105,19877,2
0,recommend_context.pos_contexts.pos_info.reward_time,60076,19907,3
0,recommend_context.pos_contexts.pos_info.short_pos_id,139852,19907,7
0,recommend_context.pos_contexts.pos_operation,2357965,19907,259
0,recommend_context.pos_contexts.pos_operation.condition_match_exp_group_ids,1755727,17915,229
0,recommend_context.pos_contexts.pos_operation.pos_debug_info,152473,19907,10
0,recommend_context.pos_contexts.pos_operation.pos_debug_info.is_report_ltr_eval_track_log,32,16,2
0,recommend_context.pos_contexts.pos_operation.pos_debug_info.is_report_ltr_track_log,10001,4984,2
0,recommend_context.pos_contexts.pos_operation.pos_debug_info.is_report_more_track_log,125,62,2
0,recommend_context.pos_contexts.pos_operation.pos_debug_info.is_report_reranking_track_log,29652,14734,2
0,recommend_context.pos_contexts.pos_operation.pos_debug_info.is_report_track_log,32671,16233,2
0,recommend_context.pos_contexts.pos_operation.pos_indicator,372576,19907,20
0,recommend_context.pos_contexts.pos_operation.pos_indicator.no_ad_indicator,292628,19907,16
0,recommend_context.pos_contexts.pos_operation.pos_indicator.no_ad_indicator.ad_count,212438,19877,11
0,recommend_context.pos_contexts.pos_operation.pos_indicator.no_ad_indicator.ad_count.fillad,56438,19877,3
0,recommend_context.pos_contexts.pos_operation.pos_indicator.no_ad_indicator.ad_count.index,59618,19877,3
0,recommend_context.pos_contexts.pos_operation.pos_indicator.no_ad_indicator.ad_count.scoring,56493,19877,3
0,recommend_context.pos_contexts.pos_operation.pos_indicator.no_ad_indicator.no_ad_reason,40298,19907,2
0,recommend_context.pos_contexts.pos_strategy,336569155,19907,60798
0,recommend_context.pos_contexts.pos_strategy.ad_count,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.ad_pos_size,79631,19907,4
0,recommend_context.pos_contexts.pos_strategy.bid_buying_type,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.config_resource_spec,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.content_profile,218984,19907,11
0,recommend_context.pos_contexts.pos_strategy.content_profile.scene_profile,79631,19907,4
0,recommend_context.pos_contexts.pos_strategy.content_profile.scene_profile.reserve_ecpm,39815,19907,2
